id,Label,Annotated Positive Document,Correct Annotated Positive Document,Annotated Negative Document,Correct Annotated Negative Document,summary,Document
52,,,,,,"Visual question answering (VQA) has witnessed great progress since May, 2015as a classic problem unifying visual and textual data into a system. Manyenlightening VQA works explore deep into the image and question encodings andfusing methods, of which attention is the most effective and infusivemechanism. Current attention based methods focus on adequate fusion of visualand textual features, but lack the attention to where people focus to askquestions about the image. Traditional attention based methods attach a singlevalue to the feature at each spatial location, which losses many usefulinformation. To remedy these problems, we propose a general method to performsaliency-like pre-selection on overlapped region features by the interrelationof bidirectional LSTM (BiLSTM), and use a novel element-wise multiplicationbased attention method to capture more competent correlation informationbetween visual and textual features. We conduct experiments on the large-scaleCOCO-VQA dataset and analyze the effectiveness of our model demonstrated bystrong empirical results.",Task-driven Visual Saliency and Attention-based Visual Question  Answering
53,Nuclear,,,Nuclear,,"We present a systematic analysis on the performance of a phonetic recogniserwhen the window of input features is not symmetric with respect to the currentframe. The recogniser is based on Context Dependent Deep Neural Networks(CD-DNNs) and Hidden Markov Models (HMMs). The objective is to reduce thelatency of the system by reducing the number of future feature frames requiredto estimate the current output. Our tests performed on the TIMIT database showthat the performance does not degrade when the input window is shifted up to 5frames in the past compared to common practice (no future frame). Thiscorresponds to improving the latency by 50 ms in our settings. Our tests alsoshow that the best results are not obtained with the symmetric window commonlyemployed, but with an asymmetric window with eight past and two future contextframes, although this observation should be confirmed on other data sets. Thereduction in latency suggested by our results is critical for specificapplications such as real-time lip synchronisation for tele-presence, but mayalso be beneficial in general applications to improve the lag in human-machinespoken interaction.",Optimising The Input Window Alignment in CD-DNN Based Phoneme  Recognition for Low Latency Processing
54,,,,,,"Recently, the long short-term memory neural network (LSTM) has attracted wideinterest due to its success in many tasks. LSTM architecture consists of amemory cell and three gates, which looks similar to the neuronal networks inthe brain. However, there still lacks the evidence of the cognitiveplausibility of LSTM architecture as well as its working mechanism. In thispaper, we study the cognitive plausibility of LSTM by aligning its internalarchitecture with the brain activity observed via fMRI when the subjects read astory. Experiment results show that the artificial memory vector in LSTM canaccurately predict the observed sequential brain activities, indicating thecorrelation between LSTM architecture and the cognitive process of storyreading.",Bridging LSTM Architecture and the Neural Dynamics during Reading
55,Chemistry,Chemistry,,,,"This paper addresses how a recursive neural network model can automaticallyleave out useless information and emphasize important evidence, in other words,to perform ""weight tuning"" for higher-level representation acquisition. Wepropose two models, Weighted Neural Network (WNN) and Binary-Expectation NeuralNetwork (BENN), which automatically control how much one specific unitcontributes to the higher-level representation. The proposed model can beviewed as incorporating a more powerful compositional function for embeddingacquisition in recursive neural networks. Experimental results demonstrate thesignificant improvement over standard neural models.",Feature Weight Tuning for Recursive Neural Networks
56,,,,,,"One essential task in information extraction from the medical corpus is drugname recognition. Compared with text sources come from other domains, themedical text is special and has unique characteristics. In addition, themedical text mining poses more challenges, e.g., more unstructured text, thefast growing of new terms addition, a wide range of name variation for the samedrug. The mining is even more challenging due to the lack of labeled datasetsources and external knowledge, as well as multiple token representations for asingle drug name that is more common in the real application setting. Althoughmany approaches have been proposed to overwhelm the task, some problemsremained with poor F-score performance (less than 0.75). This paper presents anew treatment in data representation techniques to overcome some of thosechallenges. We propose three data representation techniques based on thecharacteristics of word distribution and word similarities as a result of wordembedding training. The first technique is evaluated with the standard NNmodel, i.e., MLP (Multi-Layer Perceptrons). The second technique involves twodeep network classifiers, i.e., DBN (Deep Belief Networks), and SAE (StackedDenoising Encoders). The third technique represents the sentence as a sequencethat is evaluated with a recurrent NN model, i.e., LSTM (Long Short TermMemory). In extracting the drug name entities, the third technique gives thebest F-score performance compared to the state of the art, with its averageF-score being 0.8645.",A New Data Representation Based on Training Data Characteristics to  Extract Drug Named-Entity in Medical Text
57,Physics,,,Physics,,"Writing rap lyrics requires both creativity to construct a meaningful,interesting story and lyrical skills to produce complex rhyme patterns, whichform the cornerstone of good flow. We present a rap lyrics generation methodthat captures both of these aspects. First, we develop a prediction model toidentify the next line of existing lyrics from a set of candidate next lines.This model is based on two machine-learning techniques: the RankSVM algorithmand a deep neural network model with a novel structure. Results show that theprediction model can identify the true next line among 299 randomly selectedlines with an accuracy of 17%, i.e., over 50 times more likely than by random.Second, we employ the prediction model to combine lines from existing songs,producing lyrics with rhyme and a meaning. An evaluation of the produced lyricsshows that in terms of quantitative rhyme density, the method outperforms thebest human rappers by 21%. The rap lyrics generator has been deployed as anonline tool called DeepBeat, and the performance of the tool has been assessedby analyzing its usage logs. This analysis shows that machine-learned rankingscorrelate with user preferences.",DopeLearning: A Computational Approach to Rap Lyrics Generation
58,,,,,,"Semantic matching, which aims to determine the matching degree between twotexts, is a fundamental problem for many NLP applications. Recently, deeplearning approach has been applied to this problem and significant improvementshave been achieved. In this paper, we propose to view the generation of theglobal interaction between two texts as a recursive process: i.e. theinteraction of two texts at each position is a composition of the interactionsbetween their prefixes as well as the word level interaction at the currentposition. Based on this idea, we propose a novel deep architecture, namelyMatch-SR, to model the recursive matching structure. Firstly, a tensor isconstructed to capture the word level interactions. Then a spatial RNN isapplied to integrate the local interactions recursively, with importancedetermined by four types of gates. Finally, the matching score is calculatedbased on the global interaction. We show that, after degenerated to the exactmatching scenario, Match-SRNN can approximate the dynamic programming processof longest common subsequence. Thus, there exists a clear interpretation forMatch-SRNN. Our experiments on two semantic matching tasks showed theeffectiveness of Match-SR, and its ability of visualizing the learnedmatching structure.",Match-SRNN: Modeling the Recursive Matching Structure with Spatial RNN
59,,,,,,"Advances in neural variational inference have facilitated the learning ofpowerful directed graphical models with continuous latent variables, such asvariational autoencoders. The hope is that such models will learn to representrich, multi-modal latent factors in real-world data, such as natural languagetext. However, current models often assume simplistic priors on the latentvariables - such as the uni-modal Gaussian distribution - which are incapableof representing complex latent factors efficiently. To overcome thisrestriction, we propose the simple, but highly flexible, piecewise constantdistribution. This distribution has the capacity to represent an exponentialnumber of modes of a latent target distribution, while remaining mathematicallytractable. Our results demonstrate that incorporating this new latentdistribution into different models yields substantial improvements in naturallanguage processing tasks such as document modeling and natural languagegeneration for dialogue.",Piecewise Latent Variables for Neural Variational Text Processing
60,DV,DV,,,,"Recurrent Neural Networks (RNNs) have become increasingly popular for thetask of language understanding. In this task, a semantic tagger is deployed toassociate a semantic label to each word in an input sequence. The success ofRNN may be attributed to its ability to memorize long-term dependence thatrelates the current-time semantic label prediction to the observations manytime instances away. However, the memory capacity of simple RNNs is limitedbecause of the gradient vanishing and exploding problem. We propose to use anexternal memory to improve memorization capability of RNNs. We conductedexperiments on the ATIS dataset, and observed that the proposed model was ableto achieve the state-of-the-art results. We compare our proposed model withalternative models and report analysis results that may provide insights forfuture research.",Recurrent Neural Networks with External Memory for Language  Understanding
61,,,,,,"We present a novel response generation system that can be trained end to endon large quantities of unstructured Twitter conversations. A neural networkarchitecture is used to address sparsity issues that arise when integratingcontextual information into classic statistical models, allowing the system totake into account previous dialog utterances. Our dynamic-context generativemodels show consistent gains over both context-sensitive andnon-context-sensitive Machine Translation and Information Retrieval baselines.",A Neural Network Approach to Context-Sensitive Generation of  Conversational Responses
62,,,,,,"This paper introduces the Ubuntu Dialogue Corpus, a dataset containing almost1 million multi-turn dialogues, with a total of over 7 million utterances and100 million words. This provides a unique resource for research into buildingdialogue managers based on neural language models that can make use of largeamounts of unlabeled data. The dataset has both the multi-turn property ofconversations in the Dialog State Tracking Challenge datasets, and theunstructured nature of interactions from microblog services such as Twitter. Wealso describe two neural learning architectures suitable for analyzing thisdataset, and provide benchmark performance on the task of selecting the bestnext response.",The Ubuntu Dialogue Corpus: A Large Dataset for Research in Unstructured  Multi-Turn Dialogue Systems
63,,,,,,"We investigate the task of building open domain, conversational dialoguesystems based on large dialogue corpora using generative models. Generativemodels produce system responses that are autonomously generated word-by-word,opening up the possibility for realistic, flexible interactions. In support ofthis goal, we extend the recently proposed hierarchical recurrentencoder-decoder neural network to the dialogue domain, and demonstrate thatthis model is competitive with state-of-the-art neural language models andback-off n-gram models. We investigate the limitations of this and similarapproaches, and show how its performance can be improved by bootstrapping thelearning from a larger question-answer pair corpus and from pretrained wordembeddings.",Building End-To-End Dialogue Systems Using Generative Hierarchical  Neural Network Models
64,,,,,,"Many of the current state-of-the-art Large Vocabulary Continuous SpeechRecognition Systems (LVCSR) are hybrids of neural networks and Hidden MarkovModels (HMMs). Most of these systems contain separate components that deal withthe acoustic modelling, language modelling and sequence decoding. Weinvestigate a more direct approach in which the HMM is replaced with aRecurrent Neural Network (RNN) that performs sequence prediction directly atthe character level. Alignment between the input features and the desiredcharacter sequence is learned automatically by an attention mechanism builtinto the RNN. For each predicted character, the attention mechanism scans theinput sequence and chooses relevant frames. We propose two methods to speed upthis operation: limiting the scan to a subset of most promising frames andpooling over time the information contained in neighboring frames, therebyreducing source sequence length. Integrating an n-gram language model into thedecoding process yields recognition accuracies similar to other HMM-freeRNN-based approaches.",End-to-End Attention-based Large Vocabulary Speech Recognition
65,Chemistry,,,Chemistry,,"We propose Neural Reasoner, a framework for neural network-based reasoningover natural language sentences. Given a question, Neural Reasoner can inferover multiple supporting facts and find an answer to the question in specificforms. Neural Reasoner has 1) a specific interaction-pooling mechanism,allowing it to examine multiple facts, and 2) a deep architecture, allowing itto model the complicated logical relations in reasoning tasks. Assuming noparticular structure exists in the question and facts, Neural Reasoner is ableto accommodate different types of reasoning and different forms of languageexpressions. Despite the model complexity, Neural Reasoner can still be trainedeffectively in an end-to-end manner. Our empirical studies show that NeuralReasoner can outperform existing neural reasoning systems with remarkablemargins on two difficult artificial tasks (Positional Reasoning and PathFinding) proposed in [8]. For example, it improves the accuracy on PathFinding(10K) from 33.4% [6] to over 98%.",Towards Neural Network-based Reasoning
66,,,,,,"We propose an end-to-end, domain-independent neural encoder-aligner-decodermodel for selective generation, i.e., the joint task of content selection andsurface realization. Our model first encodes a full set of over-determineddatabase event records via an LSTM-based recurrent neural network, thenutilizes a novel coarse-to-fine aligner to identify the small subset of salientrecords to talk about, and finally employs a decoder to generate free-formdescriptions of the aligned, selected records. Our model achieves the bestselection and generation results reported to-date (with 59% relativeimprovement in generation) on the benchmark WeatherGov dataset, despite usingno specialized features or linguistic resources. Using an improved k-nearestneighbor beam filter helps further. We also perform a series of ablations andvisualizations to elucidate the contributions of our key model components.Lastly, we evaluate the generalizability of our model on the RoboCup dataset,and get results that are competitive with or better than the state-of-the-art,despite being severely data-starved.",What to talk about and how? Selective Generation using LSTMs with  Coarse-to-Fine Alignment
67,,,,,,"While most approaches to automatically recognizing entailment relations haveused classifiers employing hand engineered features derived from complexnatural language processing pipelines, in practice their performance has beenonly slightly better than bag-of-word pair classifiers using only lexicalsimilarity. The only attempt so far to build an end-to-end differentiableneural network for entailment failed to outperform such a simple similarityclassifier. In this paper, we propose a neural model that reads two sentencesto determine entailment using long short-term memory units. We extend thismodel with a word-by-word neural attention mechanism that encourages reasoningover entailments of pairs of words and phrases. Furthermore, we present aqualitative analysis of attention weights produced by this model, demonstratingsuch reasoning capabilities. On a large entailment dataset this modeloutperforms the previous best neural model and a classifier with engineeredfeatures by a substantial margin. It is the first generic end-to-enddifferentiable system that achieves state-of-the-art accuracy on a textualentailment dataset.",Reasoning about Entailment with Neural Attention
68,,,,,,"In this paper, we extend the deep long short-term memory (DLSTM) recurrentneural networks by introducing gated direct connections between memory cells inadjacent layers. These direct links, called highway connections, enableunimpeded information flow across different layers and thus alleviate thegradient vanishing problem when building deeper LSTMs. We further introduce thelatency-controlled bidirectional LSTMs (BLSTMs) which can exploit the wholehistory while keeping the latency under control. Efficient algorithms areproposed to train these novel networks using both frame and sequencediscriminative criteria. Experiments on the AMI distant speech recognition(DSR) task indicate that we can train deeper LSTMs and achieve betterimprovement from sequence training with highway LSTMs (HLSTMs). Our novel modelobtains $43.9/47.7\%$ WER on AMI (SDM) dev and eval sets, outperforming allprevious works. It beats the strong DNN and DLSTM baselines with $15.7\%$ and$5.3\%$ relative improvement respectively.",Highway Long Short-Term Memory RNNs for Distant Speech Recognition
69,Nuclear,,,Nuclear,,"We proposed Neural Enquirer as a neural network architecture to execute anatural language (NL) query on a knowledge-base (KB) for answers. Basically,Neural Enquirer finds the distributed representation of a query and thenexecutes it on knowledge-base tables to obtain the answer as one of the valuesin the tables. Unlike similar efforts in end-to-end training of semanticparsers, Neural Enquirer is fully ""neuralized"": it not only givesdistributional representation of the query and the knowledge-base, but alsorealizes the execution of compositional queries as a series of differentiableoperations, with intermediate results (consisting of annotations of the tablesat different levels) saved on multiple layers of memory. Neural Enquirer can betrained with gradient descent, with which not only the parameters of thecontrolling components and semantic parsing component, but also the embeddingsof the tables and query words can be learned from scratch. The training can bedone in an end-to-end fashion, but it can take stronger guidance, e.g., thestep-by-step supervision for complicated queries, and benefit from it. NeuralEnquirer is one step towards building neural network systems which seek tounderstand language by executing it on real-world. Our experiments show thatNeural Enquirer can learn to execute fairly complicated NL queries on tableswith rich structures.",Neural Enquirer: Learning to Query Tables with Natural Language
70,Data,Data,,,,"We review the task of Sentence Pair Scoring, popular in the literature invarious forms - viewed as Answer Sentence Selection, Semantic Text Scoring,Next Utterance Ranking, Recognizing Textual Entailment, Paraphrasing or e.g. acomponent of Memory Networks.  We argue that all such tasks are similar from the model perspective andpropose new baselines by comparing the performance of common IR metrics andpopular convolutional, recurrent and attention-based neural models across manySentence Pair Scoring tasks and datasets. We discuss the problem of evaluatingrandomized models, propose a statistically grounded methodology, and attempt toimprove comparisons by releasing new datasets that are much harder than some ofthe currently used well explored benchmarks. We introduce a unified open sourcesoftware framework with easily pluggable models and tasks, which enables us toexperiment with multi-task reusability of trained sentence model. We set a newstate-of-art in performance on the Ubuntu Dialogue dataset.",Sentence Pair Scoring: Towards Unified Framework for Text Comprehension
71,,,,,,"We address an important problem in sequence-to-sequence (Seq2Seq) learningreferred to as copying, in which certain segments in the input sequence areselectively replicated in the output sequence. A similar phenomenon isobservable in human language communication. For example, humans tend to repeatentity names or even long phrases in conversation. The challenge with regard tocopying in Seq2Seq is that new machinery is needed to decide when to performthe operation. In this paper, we incorporate copying into neural network-basedSeq2Seq learning and propose a new model called CopyNet with encoder-decoderstructure. CopyNet can nicely integrate the regular way of word generation inthe decoder with the new copying mechanism which can choose sub-sequences inthe input sequence and put them at proper places in the output sequence. Ourempirical study on both synthetic data sets and real world data setsdemonstrates the efficacy of CopyNet. For example, CopyNet can outperformregular RNN-based model with remarkable margins on text summarization tasks.",Incorporating Copying Mechanism in Sequence-to-Sequence Learning
72,DV,DV,,,,"Over the past decade, large-scale supervised learning corpora have enabledmachine learning researchers to make substantial advances. However, to thisdate, there are no large-scale question-answer corpora available. In this paperwe present the 30M Factoid Question-Answer Corpus, an enormous question answerpair corpus produced by applying a novel neural network architecture on theknowledge base Freebase to transduce facts into natural language questions. Theproduced question answer pairs are evaluated both by human evaluators and usingautomatic evaluation metrics, including well-established machine translationand sentence similarity metrics. Across all evaluation criteria thequestion-generation model outperforms the competing template-based baseline.Furthermore, when presented to human evaluators, the generated questions appearcomparable in quality to real human-generated questions.",Generating Factoid Questions With Recurrent Neural Networks: The 30M  Factoid Question-Answer Corpus
73,Data,,,Data,,"We investigate evaluation metrics for dialogue response generation systemswhere supervised labels, such as task completion, are not available. Recentworks in response generation have adopted metrics from machine translation tocompare a model's generated response to a single target response. We show thatthese metrics correlate very weakly with human judgements in the non-technicalTwitter domain, and not at all in the technical Ubuntu domain. We providequantitative and qualitative results highlighting specific weaknesses inexisting metrics, and provide recommendations for future development of betterautomatic evaluation metrics for dialogue systems.",How NOT To Evaluate Your Dialogue System: An Empirical Study of  Unsupervised Evaluation Metrics for Dialogue Response Generation
74,,,,,,"Sequential data often possesses a hierarchical structure with complexdependencies between subsequences, such as found between the utterances in adialogue. In an effort to model this kind of generative process, we propose aneural network-based generative architecture, with latent stochastic variablesthat span a variable number of time steps. We apply the proposed model to thetask of dialogue response generation and compare it with recent neural networkarchitectures. We evaluate the model performance through automatic evaluationmetrics and by carrying out a human evaluation. The experiments demonstratethat our model improves upon recently proposed models and that the latentvariables facilitate the generation of long outputs and maintain the context.",A Hierarchical Latent Variable Encoder-Decoder Model for Generating  Dialogues
75,Physics,,,Physics,,"Many important NLP problems can be posed as dual-sequence orsequence-to-sequence modeling tasks. Recent advances in building end-to-endneural architectures have been highly successful in solving such tasks. In thiswork we propose a new architecture for dual-sequence modeling that is based onassociative memory. We derive AM-RNNs, a recurrent associative memory (AM)which augments generic recurrent neural networks (RNN). This architecture isextended to the Dual AM-RNN which operates on two AMs at once. Our modelsachieve very competitive results on textual entailment. A qualitative analysisdemonstrates that long range dependencies between source and target-sequencecan be bridged effectively using Dual AM-RNNs. However, an initial experimenton auto-encoding reveals that these benefits are not exploited by the systemwhen learning to solve sequence-to-sequence tasks which indicates thatadditional supervision or regularization is needed.",Neural Associative Memory for Dual-Sequence Modeling
76,Data,Data,,,,"We introduce LL-RNNs (Log-Linear RNNs), an extension of Recurrent NeuralNetworks that replaces the softmax output layer by a log-linear output layer,of which the softmax is a special case. This conceptually simple move has twomain advantages. First, it allows the learner to combat training data sparsityby allowing it to model words (or more generally, output symbols) as complexcombinations of attributes without requiring that each combination is directlyobserved in the training data (as the softmax does). Second, it permits theinclusion of flexible prior knowledge in the form of a priori specified modularfeatures, where the neural network component learns to dynamically control theweights of a log-linear distribution exploiting these features.  We conduct experiments in the domain of language modelling of French, thatexploit morphological prior knowledge and show an important decrease inperplexity relative to a baseline RNN.  We provide other motivating iillustrations, and finally argue that thelog-linear and the neural-network components contribute complementary strengthsto the LL-RNN: the LL aspect allows the model to incorporate rich priorknowledge, while the NN aspect, according to the ""representation learning""paradigm, allows the model to discover novel combination of characteristics.",Log-Linear RNNs: Towards Recurrent Neural Networks with Flexible Prior  Knowledge
77,,,,,,"There is a practically unlimited amount of natural language data available.Still, recent work in text comprehension has focused on datasets which aresmall relative to current computing possibilities. This article is making acase for the community to move to larger data and as a step in that directionit is proposing the BookTest, a new dataset similar to the popular Children'sBook Test (CBT), however more than 60 times larger. We show that training onthe new data improves the accuracy of our Attention-Sum Reader model on theoriginal CBT test data by a much larger margin than many recent attempts toimprove the model architecture. On one version of the dataset our ensemble evenexceeds the human baseline provided by Facebook. We then show in our own humanstudy that there is still space for further improvement.",Embracing data abundance: BookTest Dataset for Reading Comprehension
78,Chemistry,Chemistry,,,,"Recurrent neural networks are a powerful tool for modeling sequential data,but the dependence of each timestep's computation on the previous timestep'soutput limits parallelism and makes RNNs unwieldy for very long sequences. Weintroduce quasi-recurrent neural networks (QRNNs), an approach to neuralsequence modeling that alternates convolutional layers, which apply in parallelacross timesteps, and a minimalist recurrent pooling function that applies inparallel across channels. Despite lacking trainable recurrent layers, stackedQRNNs have better predictive accuracy than stacked LSTMs of the same hiddensize. Due to their increased parallelism, they are up to 16 times faster attrain and test time. Experiments on language modeling, sentimentclassification, and character-level neural machine translation demonstratethese advantages and underline the viability of QRNNs as a basic building blockfor a variety of sequence tasks.",Quasi-Recurrent Neural Networks
79,,,,,,"There exist many problem domains where the interpretability of neural networkmodels is essential for deployment. Here we introduce a recurrent architecturecomposed of input-switched affine transformations - in other words an RNNwithout any explicit nonlinearities, but with input-dependent recurrentweights. This simple form allows the RNN to be analyzed via straightforwardlinear methods: we can exactly characterize the linear contribution of eachinput to the model predictions; we can use a change-of-basis to disentangleinput, output, and computational hidden unit subspaces; we can fullyreverse-engineer the architecture's solution to a simple task. Despite thisease of interpretation, the input switched affine network achieves reasonableperformance on a text modeling tasks, and allows greater computationalefficiency than networks with standard nonlinearities.",Input Switched Affine Networks: An RNN Architecture Designed for  Interpretability
80,,,,,,"Neural language models predict the next token using a latent representationof the immediate token history. Recently, various methods for augmenting neurallanguage models with an attention mechanism over a differentiable memory havebeen proposed. For predicting the next token, these models query informationfrom a memory of the recent history which can facilitate learning mid- andlong-range dependencies. However, conventional attention mechanisms used inmemory-augmented neural language models produce a single output vector per timestep. This vector is used both for predicting the next token as well as for thekey and value of a differentiable memory of a token history. In this paper, wepropose a neural language model with a key-value attention mechanism thatoutputs separate representations for the key and value of a differentiablememory, as well as for encoding the next-word distribution. This modeloutperforms existing memory-augmented neural language models on two corpora.Yet, we found that our method mainly utilizes a memory of the five most recentoutput representations. This led to the unexpected main finding that a muchsimpler model based only on the concatenation of recent output representationsfrom previous time steps is on par with more sophisticated memory-augmentedneural language models.",Frustratingly Short Attention Spans in Neural Language Modeling
81,Physics,,,Physics,,"This paper proposes a new model for extracting an interpretable sentenceembedding by introducing self-attention. Instead of using a vector, we use a2-D matrix to represent the embedding, with each row of the matrix attending ona different part of the sentence. We also propose a self-attention mechanismand a special regularization term for the model. As a side effect, theembedding comes with an easy way of visualizing what specific parts of thesentence are encoded into the embedding. We evaluate our model on 3 differenttasks: author profiling, sentiment classification, and textual entailment.Results show that our model yields a significant performance gain compared toother sentence embedding methods in all of the 3 tasks.",A Structured Self-attentive Sentence Embedding
82,Physics,Physics,,,,"We introduce an attention-based Bi-LSTM for Chinese implicit discourserelations and demonstrate that modeling argument pairs as a joint sequence canoutperform word order-agnostic approaches. Our model benefits from a partialsampling scheme and is conceptually simple, yet achieves state-of-the-artperformance on the Chinese Discourse Treebank. We also visualize its attentionactivity to illustrate the model's ability to selectively focus on the relevantparts of an input sequence.",A Recurrent Neural Model with Attention for the Recognition of Chinese  Implicit Discourse Relations
83,Data,Data,,,,"Automated story generation is the problem of automatically selecting asequence of events, actions, or words that can be told as a story. We seek todevelop a system that can generate stories by learning everything it needs toknow from textual story corpora. To date, recurrent neural networks that learnlanguage models at character, word, or sentence levels have had little successgenerating coherent stories. We explore the question of event representationsthat provide a mid-level of abstraction between words and sentences in order toretain the semantic information of the original data while minimizing eventsparsity. We present a technique for preprocessing textual story data intoevent sequences. We then present a technique for automated story generationwhereby we decompose the problem into the generation of successive events(event2event) and the generation of natural language sentences from events(event2sentence). We give empirical results comparing different eventrepresentations and their effects on event successor generation and thetranslation of events to natural language.",Event Representations for Automated Story Generation with Deep Neural  Nets
84,Physics,Physics,,,,"We propose a generative machine comprehension model that learns jointly toask and answer questions based on documents. The proposed model uses asequence-to-sequence framework that encodes the document and generates aquestion (answer) given an answer (question). Significant improvement in modelperformance is observed empirically on the SQuAD corpus, confirming ourhypothesis that the model benefits from jointly learning to perform both tasks.We believe the joint model's novelty offers a new perspective on machinecomprehension beyond architectural engineering, and serves as a first steptowards autonomous information seeking.",A Joint Model for Question Answering and Question Generation
85,,,,,,"Model compression is significant for the wide adoption of Recurrent NeuralNetworks (RNNs) in both user devices possessing limited resources and businessclusters requiring quick responses to large-scale service requests. This workaims to learn structurally-sparse Long Short-Term Memory (LSTM) by reducing thesizes of basic structures within LSTM units, including input updates, gates,hidden states, cell states and outputs. Independently reducing the sizes ofbasic structures can result in inconsistent dimensions among them, andconsequently, end up with invalid LSTM units. To overcome the problem, wepropose Intrinsic Sparse Structures (ISS) in LSTMs. Removing a component of ISSwill simultaneously decrease the sizes of all basic structures by one andthereby always maintain the dimension consistency. By learning ISS within LSTMunits, the obtained LSTMs remain regular while having much smaller basicstructures. Based on group Lasso regularization, our method achieves 10.59xspeedup without losing any perplexity of a language modeling of Penn TreeBankdataset. It is also successfully evaluated through a compact model with only2.69M weights for machine Question Answering of SQuAD dataset. Our approach issuccessfully extended to non- LSTM RNNs, like Recurrent Highway Networks(RHNs). Our source code is publicly available athttps://github.com/wenwei202/iss-rnns",Learning Intrinsic Sparse Structures within Long Short-Term Memory
86,,,,,,"Representing the semantic relations that exist between two given words (orentities) is an important first step in a wide-range of NLP applications suchas analogical reasoning, knowledge base completion and relational informationretrieval. A simple, yet surprisingly accurate method for representing arelation between two words is to compute the vector offset (\PairDiff) betweentheir corresponding word embeddings. Despite the empirical success, it remainsunclear as to whether \PairDiff is the best operator for obtaining a relationalrepresentation from word embeddings. We conduct a theoretical analysis ofgeneralised bilinear operators that can be used to measure the $\ell_{2}$relational distance between two word-pairs. We show that, if the wordembeddings are standardised and uncorrelated, such an operator will beindependent of bilinear terms, and can be simplified to a linear form, where\PairDiff is a special case. For numerous word embedding types, we empiricallyverify the uncorrelation assumption, demonstrating the general applicability ofour theoretical result. Moreover, we experimentally discover \PairDiff from thebilinear relation composition operator on several benchmark analogy datasets.",Why PairDiff works? -- A Mathematical Analysis of Bilinear Relational  Compositional Operators for Analogy Detection
87,Physics,,,Physics,,"We propose Object-oriented Neural Programming (OONP), a framework forsemantically parsing documents in specific domains. Basically, OONP reads adocument and parses it into a predesigned object-oriented data structure(referred to as ontology in this paper) that reflects the domain-specificsemantics of the document. An OONP parser models semantic parsing as a decisionprocess: a neural net-based Reader sequentially goes through the document, andduring the process it builds and updates an intermediate ontology to summarizeits partial understanding of the text it covers. OONP supports a rich family ofoperations (both symbolic and differentiable) for composing the ontology, and abig variety of forms (both symbolic and differentiable) for representing thestate and the document. An OONP parser can be trained with supervision ofdifferent forms and strength, including supervised learning (SL) ,reinforcement learning (RL) and hybrid of the two. Our experiments on bothsynthetic and real-world document parsing tasks have shown that OONP can learnto handle fairly complicated ontology with training data of modest sizes.",Object-oriented Neural Programming (OONP) for Document Understanding
88,Chemistry,Chemistry,,,,"This paper proposes a novel neural machine reading model for open-domainquestion answering at scale. Existing machine comprehension models typicallyassume that a short piece of relevant text containing answers is alreadyidentified and given to the models, from which the models are designed toextract answers. This assumption, however, is not realistic for building alarge-scale open-domain question answering system which requires both deep textunderstanding and identifying relevant text from corpus simultaneously.  In this paper, we introduce Neural Comprehensive Ranker (NCR) that integratesboth passage ranking and answer extraction in one single framework. A Q&Asystem based on this framework allows users to issue an open-domain questionwithout needing to provide a piece of text that must contain the answer.Experiments show that the unified NCR model is able to outperform thestates-of-the-art in both retrieval of relevant text and answer extraction.",A Neural Comprehensive Ranker (NCR) for Open-Domain Question Answering
89,,,,,,"Speech recognition is largely taking advantage of deep learning, showing thatsubstantial benefits can be obtained by modern Recurrent Neural Networks(RNNs). The most popular RNNs are Long Short-Term Memory (LSTMs), whichtypically reach state-of-the-art performance in many tasks thanks to theirability to learn long-term dependencies and robustness to vanishing gradients.Nevertheless, LSTMs have a rather complex design with three multiplicativegates, that might impair their efficient implementation. An attempt to simplifyLSTMs has recently led to Gated Recurrent Units (GRUs), which are based on justtwo multiplicative gates.  This paper builds on these efforts by further revising GRUs and proposing asimplified architecture potentially more suitable for speech recognition. Thecontribution of this work is two-fold. First, we suggest to remove the resetgate in the GRU design, resulting in a more efficient single-gate architecture.Second, we propose to replace tanh with ReLU activations in the state updateequations. Results show that, in our implementation, the revised architecturereduces the per-epoch training time with more than 30% and consistentlyimproves recognition performance across different tasks, input features, andnoisy conditions when compared to a standard GRU.",Improving speech recognition by revising gated recurrent units
90,,,,,,"Training a task-completion dialogue agent with real users via reinforcementlearning (RL) could be prohibitively expensive, because it requires manyinteractions with users. One alternative is to resort to a user simulator,while the discrepancy of between simulated and real users makes the learnedpolicy unreliable in practice. This paper addresses these challenges byintegrating planning into the dialogue policy learning based on Dyna-Qframework, and provides a more sample-efficient approach to learn the dialoguepolices. The proposed agent consists of a planner trained on-line with limitedreal user experience that can generate large amounts of simulated experience tosupplement with limited real user experience, and a policy model trained onthese hybrid experiences. The effectiveness of our approach is validated on amovie-booking task in both a simulation setting and a human-in-the-loopsetting.",Integrating planning for task-completion dialogue policy learning
