id,Label,Annotated Positive Document,Correct Annotated Positive Document,Annotated Negative Document,Correct Annotated Negative Document,summary,Document
140,Veg,,,Veg,,These taste like regular blueberry muffins and do not taste fat free at all. My husband & I love them.,Review 141
141,Spicy,,,Spicy,,A favorite Amazon purchase. Make these all the time. I like to add two tablespoons of flax seed and 2 tsp. of grated lemon rind which i crumble by hand into a tablespoon ( more or less to taste depending on the amount of rind used) of sugar. I also add the drained blueberries to the dry mix before adding the water. The less stirring after the water is added the more tender the muffin.,Review 142
142,Veg,,,Veg,,"Makes great muffins, alas a bit on the sweet side. Super easy and fast to prepare, just mix it all up and bake. Will buy again.",Review 143
143,cheap,cheap,,,,I have to watch my fat intake but I like baked goods. This is the perfect answer. It is good quality and good taste and very easy to make.,Review 144
144,Sweet,,,Sweet,,These were a perfect treat for my daughter whose medical condition requires extreme low fat. I was surprised that they tasted so good!,Review 145
145,Veg,Veg,,,,"Tasty and simple, everyone loves a bite, so I highly recommend. Quick and easy and makes the house or office smell great. This price including shipping beats all local markets. Try other flavors, especially the cinnamon. I will buy again. I hope this helps someone.",Review 146
146,Sweet,,,Sweet,,"I have been so pleased with my Simple Mills purchase!! Every single member of my family of 4 , ranging from 10-35 yrs old and from picky to pickier, loved these muffins! Great job, Simple Mills, we will be back!",Review 147
147,,,,,,So great to find a gluten free product that is low glycemic! These mixes make eating gluten free healthy and easy. Bonus- the kids love them too!,Review 148
148,Spicy,Spicy,,,,These muffins far exceeded my expectations. They are incredibly easy to make and they are absolutely delicious! They turn out perfect every time and are just wonderful. It is priceless to have a mix that is as high in quality ingredients as this one. I will be a repeat buyer. Definitely.,Review 149
149,Veg,,,Veg,,"Amazing muffins, you won't believe they are made with almond flour since they are fluffy and soft. Very yummy. I just wish more mix was included. Each packet makes exactly 9 cupcake sized muffins.",Review 150
150,Spicy,,,Spicy,,"This is a good way to start the day and this box will keep you going for almost two months. Just add hot water and you're set. It's quick and easy to prepare and very filling. Plus, the variety pack will keep things interesting.",Review 151
151,Veg,,,Veg,,"I like the large variety of oatmeal but less that a week after purchasing this on Amazon (with Amazon Prime) for $18.59 on March 20th, I went to Costco and found the same exact product for $9.39. Save your money and buy it somewhere else.",Review 152
152,Veg,,,Veg,,I needed some more oatmeal for breakfast and this hit the spot. I myself need more than just one packet and will typically use a plain and another flavor to use up the plain oatmeal. I don't know anyone that wants to eat plain oatmeal but that is my solution for the packs rather than throwing them away. Several people complain of the price but not having to deal with going to the store for it and the taxes of it more than makes up for any differences.,Review 153
153,cheap,,,cheap,,"When I ordered this product there were many more flavors listed such as ""cinnamon roll"" & ""banana bread""....so this is why I ordered. When it came in the mail it only had 4 flavors. Cinnamon & Spice, Apples/Cinnamon, Maple Brown Sugar, & original. I won't be purchasing this again on Amazon.",Review 154
154,Veg,,,Veg,,"What is pictured and what you recieve is not the same! The picture when I ordered had 6 or 7 different flavors pictured, one being banana, which is the main reason I ordered and I recieved only original flavors. I will not recommend this seller and will never order from them again!",Review 155
155,,,,,,False advertisement here. The variety I received is not what I ordered. If you are out of a particular variety don't send a replacement unless you have contacted the customer for approval. I don't think I would order a bulk variety again. I'll order the individual flavors instead.,Review 156
156,,,,,,"I have been using this sort of product for decades and love the Quaker brand especially. I have used them back packing, as emergency foods at work, or simply for a routine breakfast fare. One package is usually enough for me.",Review 157
157,Spicy,,,Spicy,,"Was cheap when I got it, and I love that I can have a few months worth in a convenient large box. Best part? NO PEACHES flavor to have to avoid - yay!!",Review 158
158,,,,,,"If they removed the plain unflavored oatmeal, I would give it 5 stars. Between me (cinnamon and spice & maple) and my 4 year old grandson (every other flavor), we take care of all flavors but the plain unflavored.",Review 159
159,,,,,,"Cant go wrong with this so when our jiu jitsu school did a food drive, specifically asking for oatmeal for kids who need breakfasts this is what we bought. GREAT that we could buy it in bulk. GREAT that it was delivered so fast - Thank you :)",Review 160
160,Veg,,,Veg,,I got these for my mother too have for her diabetes this can help her blood sugar very healthy be blessed everyone!!!,Review 161
161,Sweet,,,Sweet,,"I can summarize the new recipe version in one word -- disgusting! The new formula for the Maple and Brown Sugar flavor tasted like oatmeal mixed with cheap, off-brand frosting or marshmellow flavoring. I had originally thought mine was just bad in some way, but then I confirmed the product image clearly showed on the box ""Classic Recipe"" (upper left corner of box), but that is not what Hutshop gave Amazon to distribute. Although Amazon has a no return policy on most food items, they did process a refund because they were not shipping out what was shown.",Review 162
162,,,,,,"While living here in the hell that is Afghanistan where our senior military leaders see fit to eliminate one meal, (breakfast) this fills the void",Review 163
163,,,,,,"Amazing price compared to the grocery store and a great multi-pack mix. I like adding raisins and dried cranberries to mine, makes a great healthy breakfast. No surprises in this one, we all know what Quaker Oats are.",Review 164
164,Sweet,,,Sweet,,"Those little packets are wonderful for a quick low calorie weekday breakfast. My favorites are the cinnamon&spice, raisin&spice, and the apple. They are so easy to make and I usually have them after my exercise. With the exception of the warehouse stores (Sam's, Costco) it is extremely rare to see the 52 packet boxes.",Review 165
165,Sweet,,,Sweet,,"Good product, but this price is beyond stupid. It wouldn't cost this much if you bought 6 boxes of the 10 pack at walmart.",Review 166
166,cheap,,,cheap,,"Item received in good condition and is fresh - convenient packaged meal, taste good and would recommend for purchase. Try it!",Review 167
167,,,,,,"Bought this and other items to ship to my daughter in Hawaii. She is attending college over there and she needed groceries. Amazon gave me the flexibility to ship all these groceries for free and right to her dorm. What would have taken her 5-8 trips on the bus to get, it took only a few days to receive it all. Thank you Amazon for your great selection on groceries. Time saver.",Review 168
168,Veg,Veg,,,,"I have used Quaker Instant Oatmeal before and knew about the quality. The variety of flavors is great, always delicious and always comes out right. The instructions are simple, easily understood. Not least is the fact that this is Oatmeal made from oats which is very healthy for people. One of the best grains to consume. I would highly recommend this product.",Review 169
169,,,,,,This just gives you a great selection of tastes and a nice way to warm up when you come in,Review 170
170,cheap,,,cheap,,Not as presented flavors need to return how to get credit please advise as soon as possible as of now,Review 171
171,Sweet,,,Sweet,,Love this product. Four flavors so you can alternate when you're feeling tired of one flavor. Great deal as well.,Review 172
172,Spicy,,,Spicy,,oatmeal is a great breakfast as well as snack as a pleasant alternative to candy or junk food. Thank you amazon for the good price and convenience of home delivery! I keep this at work as well as at home to help avoid tempation.,Review 173
173,,,,,,"This is a big improvement on earlier ""instant"" oatmeal varieties. I and my puppy are enjoying it. I love it with my Stash teas in th morning or for a snack at night. It's a sleep promoting food.",Review 174
174,,,,,,Makes you feel like a kid ! And it's good for you too! Great deal and good selection great buy!,Review 175
175,cheap,cheap,,,,Oat is my favorite kind of breakfast and having a varity is excellent. I will be definately buying this again.,Review 176
176,,,,,,"My favorite packet oat meal. Tastes good and fills me up. Easy enough to make so I don't miss breakfast. Since, regular flavored oat meal is not my preference I really like that they only include 5 of those in the box.",Review 177
177,,,,,,Looking for a great tasting oatmeal that you will enjoy any time on the day? Well... This is what you've been searching for. Come try it out and see for yourself.,Review 178
178,Sweet,Sweet,,,,Excellent bargain and they are good very cool selection very tasty cereal will probably order again for this winter to serve on cold mornings,Review 179
179,Veg,Veg,,,,"this goods very good, it is very useful, i very love it, cheap and great, it good for me, thanks.",Review 180
180,Sweet,Sweet,,,,"Assortment of instant oatmeal just add hot water and its done. Great for breakfast, lunch, dinner or a snack at home or work.",Review 181
181,Spicy,,,Spicy,,love this buy bought several times already and would purchase again.fast and easy to make and good selection of choices.,Review 182
182,Veg,,,Veg,,This product was purchased for the local BACKPACK program which provides weekend food stuff for disadvantaged children. Unfortunately there are over 100 eligible children and this purchase doesn't even handle one weekend.,Review 183
183,cheap,cheap,,,,"I never really was a oatmeal lover when I was younger. I tried a package from the store, loved it. Bought me this box from amazon and love all the different flavors.",Review 184
184,Sweet,,,Sweet,,love the oats as it comes with different flavours in the box. daily add two different flavours in milk to have my breakfast.,Review 185
185,,,,,,Everything is great. Just wished they had additional plain so I can mix one regular and 1 sweetened because it's a little too sweet per packet. I didn't see a low sugar instant oatmeal.,Review 186
186,Sweet,,,Sweet,,I love all of the flavored oatmeal. I wish it didn't come with the plain flavor. Exactly what I expected.,Review 187
187,,,,,,"My coworkers are addicted to this oatmeal variety pack. We always have a supply in the office to help people power through a busy morning or afternoon. The packets are pretty small (just like they are if you buy a smaller box at the grocery store) but you can just use more than one if needed. The only complaint I get is that there sometimes aren't enough plain packets, so we offset this by having an unflavored canister of oats to combine these with.",Review 188
188,Spicy,,,Spicy,,recommend this to others for a quick snack or breakfast and it tastes great anytime during the day if desired.,Review 189
189,Veg,,,Veg,,"If you love oatmeal but don't have lots of time, this is for you. Its got a good amount of variety and it's good for you. ;-)",Review 190
190,cheap,,,cheap,,"I really didn't find much savings, but I like the convenience of a larger package of Instant Oatmeal at hand. There are three of us in the house trying to eat healthier and I am sure that the variety of choices will help all of us.m",Review 191
191,Sweet,Sweet,,,,I am losing weight just using them as my replacement meal for breakfast. Its a value cause there so many of them for the price. I am still enjoying it. I will buy it again.,Review 192
192,,,,,,I have to order in bulk because my son eats oatmeal daily. Finally I found it online in this size. Super happy!,Review 193
193,Veg,Veg,,,,I'm 195 pounds and I oatmeal all the time as a filler meal. I have to eat two bags to make it filling enough to hold me over to my next meal.,Review 194
194,,,,,,"SO convenient and quick! Add some fruit and have the best start you could ask for to your busy day. Great fiber, great taste, totally simple and easy to prepare. I especially like the Cinnamon and Spice but all these flavors are good.",Review 195
195,Sweet,Sweet,,,,breakfast food for like 3 months for less than 20 bucks. what really ? yup! and the flavors rock! !,Review 196
196,,,,,,I love the 52 pack variety box. It is a huge amount that lasts a couple of months. The price is right for the size and ease of home delivery.,Review 197
197,cheap,,,cheap,,A staple for breakfast this package offers plenty of variety to avoid getting sick of any one specific flavor. The packets are enough to get my day started but a few hours later I always have a Greek yogurt and a banana.,Review 198
198,,,,,,I love this product. I bought it as a breakfast to take to my office and get a rich oats in seconds,Review 199
199,Sweet,,,Sweet,,Great for a cold morning start. Sent them to my son in MI and he is really enjoying each flavor.,Review 200
200,,,,,,I was very pleased with the product. The fruit was well ripened and semi-dried to provide a delicious alternative to sugary snacks. My emphasis and reason for buying the product was to give my family the nutrient value of the fruit at a time when fresh fr,Review 201
201,Spicy,,,Spicy,,"I LOVE THAT THEY ARE NOT THE HARD DRIED FRUIT BUT ARE A SOFT, SEMI-DRIED FRUIT, VERY GOOD, GOOD PRICE, FAST DELIVERY. I DO WISH THERE WOULD HAVE BEEN A LITTLE MORE OF THE PEARS AND PEACHS, BUT STILL GREAT PRODUCT.",Review 202
202,Sweet,,,Sweet,,My daughter loves this variety of dried fruit and I enjoy snacking on it as well. There is always the issue of one fruit being much more prevalent in the bags than all the rest (usually prunes) but it's still a good value. The only reason I'm not going 5 ,Review 203
203,Veg,Veg,,,,The fruit has either no taste (apples & plums) or rancid taste (pears & apricots). It was a total waste of money. I like sundried or dried fruit but this was such an unpleasant experience that I will think twice about venturing out & trying any different ,Review 204
204,Spicy,,,Spicy,,"dunno if i got a bad batch or if it was old, but the fruit was mushy and rotten tasting. Smelled really bad too. threw it away as soon as i tried a bite. not happy with purchase.",Review 205
205,,,,,,"It is difficult to find dried fruit that isn't candied, so this is a great buy. The price is comparable to any dried fruit, and it was delivered 3 days after i ordered. The selection of fruit is nice, and it's quite tasty. :o)",Review 206
206,cheap,cheap,,,,"My husband and I have tried in vain to find dried fruit as good as that produced in the Middle East, without having to drive to an international market in a larger city. Finding this product online has been fortuitous. Even our grandchildren, whose parent",Review 207
207,,,,,,I add dried fruit to my homemade trail mix. This is the best mixed fruit I've found; it's healthy and delicious.,Review 208
208,,,,,,Fresh tasty and good for you. Recommend this purchase. Have tried other brands and this is one of the better ones.Very fresh.,Review 209
209,,,,,,"The fruits were tasty and I enjoyed eating them, but I found that the mix was not as expected. There were a lot of apricots and I really wanted other kinds of dried fruit, as the label implied. I will not be buying this again. I bought this dried fruit be",Review 210
210,Spicy,,,Spicy,,"This was my first experience with ""sun-ripened"" fruit, so I'm not sure if it's really all that bad or if I just don't like it. I thought it was disgusting, and it all kind of tasted the same.",Review 211
211,Sweet,Sweet,,,,"No added sweeteners of any kind. Sometimes the ""no added sugar"" means they've added other things. But these were truly no nothing added. And they tasted great - like real fruit instead of like sugar or flavorings. Everyone, from 2 - 72 loved them.",Review 212
212,Spicy,,,Spicy,,This sounded so good. Turns out to be terrible. It was very damp and slimy. Had a very odd smell. Expensive garbage!.,Review 213
213,Veg,Veg,,,,Great snack. BY FAR the best dried fruit I have ever tasted--clean fruity taste but not too sweet. Well worth the price,Review 214
214,Spicy,,,Spicy,,It's hard to find dried fruit with no sugar added. The shopping took a little longer than planned but I love the dried fruit!!,Review 215
215,cheap,,,cheap,,"These are the best kid [ and adult ] snacks ever!!! I put them in my food save to vacuum pack in smaller pkgs. for easy access and snacking. I cant keep my grand kids out of them. They are healthy, sugar free and delicious. My main problem is, we eat the ",Review 216
216,Sweet,,,Sweet,,Mariani Sun Ripened Fruit No Sugar Added is the best dried fruit products on the market that I have found.,Review 217
217,Spicy,,,Spicy,,"I like most of the fruit in this package. I am not sure about sugar content of some of items in there, like turkish apricots",Review 218
218,Sweet,,,Sweet,,"Easy open and close package (great for those of us with arthritis). Fruit is moist, chewy, and full of flavor without the cloying sweetness usually found in dried fruit. This is a winner!",Review 219
219,Spicy,,,Spicy,,"I have ordered this product twice and I have enjoyed it a lot. Good flavor, good fruit variety, good quality!",Review 220
220,,,,,,"My bag was really good. This is a nice collection of dried fruit. I especially like the peaches. After tasting a few, I put them in the fridge because I like them cold. Very nice.",Review 221
221,,,,,,This went very fast at our house. I would have preferred a little more roughness to the fruit - this was extremely soft.,Review 222
222,,,,,,I am a fan of dried fruit and this bag has provided a great sampling all in one bag! It is a little pricey though.,Review 223
223,,,,,,"These dried fruit are really nice and soft. They are a good mix of fruit. Since they are so soft, they are really easy to chew. We buy them for an older gentleman who has dentures and finds that some of the other dried fruit are hard to chew. He has no pr",Review 224
224,Sweet,,,Sweet,,"Wide variety of moist, delicious fruit, and with a Prime Membership, only $14.95, which only comes out to $6.64 a pound, which is a much, much better deal than buying this fruit at the supermarket (you can't get this kind of package at the supermarket, ei",Review 225
225,cheap,,,cheap,,Just got these and I can't stop eating them. Every bag is random on what ratios of fruit you get - I adore prunes but most of my bag was peaches and apricots. Haven't found any apple yet but did pull a couple pears out - I don't like pears but evidently I,Review 226
226,,,,,,"i dont know what was in these I have bought these before in the store and there wasn't the aftertaste or smell that these had. unfortunately for me, bought quite a few in this order",Review 227
227,,,,,,I am not sure what people are complaining about. These are great. They are very moist and very tasty. The label does say they comes from various places which makes sense. To provide fruit year round one has to do this. The only down side is I can't find t,Review 228
228,Veg,,,Veg,,"Even rinsing in water doesn't get rid of the chemical tongue sting from apple pieces. It wouldn't hurt Mariani to look for other ways to preserve their products, marinating in sugar being one way that comes to mind. I mean, this is a question of once boug",Review 229
229,,,,,,I am fond of each item in here but I came very close to tossing these after my first handful. Absolutely horrid; cheaper @ Costco if you must.,Review 230
230,,,,,,"I haven't opened this yet but I love that there is no sugar added, that seems to be impossible to find in dried fruit which is stupid to me. I received it quickly and it's a nice big bag, I would buy this again I am sure. I have no doubt the fruit is deli",Review 231
231,cheap,,,cheap,,"I never got this item. I would have liked it! I hope I didn't pay for it! Now, I will have to look....",Review 232
232,,,,,,"To be completely and 100% fair, I have tried this product before and enjoyed it. The only part that concerns me is that this product is manufactured in China, with no information on the sources of the fruits. On their website they say they ""source fresh f",Review 233
233,cheap,,,cheap,,"It is marked as a 24 count on the web page, but when I recieved my order the box is only a 12 count.... makes the variety twice the cost as the individual flavors. I love the product, just think Amazon should take the 24 count expectation off if they are ",Review 234
234,,,,,,Every variety I have tried has been flavorful. There are no funny after tastes like with some other products. I would highly recomend. Great individual serving sizes which helps for 'good for you' snacking and portion size.,Review 235
235,cheap,cheap,,,,I was so excited to get these. I figure they would taste along the lines of the dehydrated strawberries you find in cereal. I was completely wrong. When I opened the package it smell terrible and tasted even worse. It didn't even taste like strawberries.,Review 236
236,,,,,,"Did a lot of research on these, but just can't get past the fact that it is all grown in China. That is enough for me. Do your research on the mass pollution they have there and how it ends up in the dirt. MUCH more than the US. No way is my little girl g",Review 237
237,,,,,,My children and I have had the Strawberry Banana Crisps and have loved them. But after a while they started to pick out just the strawberry pieces. So when I saw they had a plain strawberry option here I was thrilled. When they arrived I was shocked to fi,Review 238
238,cheap,,,cheap,,"I'm a big fan of Brothers fruit crisps. I've gotten the multi pack at Costco before and love all of those flavors (apple, pear, strawberry/banana). The peach are very bland and taste more like cardboard than peaches. My suggestion is to stick with Brother",Review 239
239,,,,,,"I buy these for my 22 month old son. He LOVES them however they are extremely messy. Everything turns red, so be prepared!",Review 240
240,Veg,,,Veg,,"Any country that repeatedly has safety warnings on nearly everything produced should not be exporting food. Additionally a country that has millions upon millions of people starving, should not be exporting food. Shame on this company for finding the lowe",Review 241
241,,,,,,I was excited to try this product. But the strawberries were very sour compaired to the rest of the fruit. Dissapointed.,Review 242
242,cheap,,,cheap,,"My daughter loves this product and often purchases it from a local specialty market. But they are very pricey and this seemed a better way to purchase them. But what we got was something that looked the same, but the product inside was much different. The",Review 243
243,,,,,,"Bought this product without noticing it was MADE IN CHINA. For goodness sakes, why import an all-natural fruit snack from a country with a history of contamination of their food products for people and animals? I have no faith at all that these are as the",Review 244
244,Spicy,,,Spicy,,"OK, so I didn't know these were from China when I bought them and I really wish they weren't. It's given me pause and I have yet to buy more. That being said, they are DELICIOUS and I will most likely purchase again.",Review 245
245,cheap,,,cheap,,"Another dried fruit that I bought from Amazon was out of stock, so I bought these. My grandson loves them (he's 19 months). My daughter likes them because they are big pieces. The others were small and left crumbs in the tray of his stroller. We will be b",Review 246
246,cheap,,,cheap,,These aren't crunchy like potato chips but they are crispy. I have had other brands and they tend to be more chewy which wasn't what I wanted. These aren't chewy at all which is much better IMO. All of the flavors taste great.,Review 247
247,Veg,Veg,,,,Our 3 yr. old enjoyed eating all of the flavors. They are a great on the go snack for in the car. They weren't sticky.,Review 248
248,Spicy,,,Spicy,,These are wonderful snacks for our paleo children on trips. We've taken them in the car and also airport for snacks along with some turkey jerkey!,Review 249
249,,,,,,"Used to be better quality 2 years ago. Still like them, but do not know if they are worth the expense. May go to local heath food store and see what they offer in their dehydrated bulk foods. Still better than brand names, these have no added oils and sug",Review 250
250,Veg,Veg,,,,"From the photo, I expected Honey Nut Cheerios, and by George that's just what I got.  It tasted just like what I'd expect Honey Nut Cheerios to taste like.  Note that unlike the box illustration, the bowl does not emit God-rays, and no honey-dripper or oversized bee is included. ",Review 251
251,Sweet,,,Sweet,,I thought I was saving money until my wife told me I spent twice as much as she spends at Sams for the larger size box. ,Review 252
252,cheap,,,cheap,,I love getting this four pack every other month. The price you lock in at often beats what you can buy this for at the grocery store or places like Costco. ,Review 253
253,cheap,,,cheap,,"Cheerios, flavored with honey and unidentified nuts.  The packaging does report that each box contains multiple servings, but we all know that is a dirty lie.  A serving of Cheerios is one box. ",Review 254
254,,,,,,"I initially signed up for the honey nut cheerios for a great price ... that worked for the first couple of orders.  Then, without notice, the price almost doubled..  I would say be careful on these ... I think that is how they 'get you' ... they reel you in on a super price where you think you are getting a deal and then they raise the price to considerably more than you would even pay at the store. ",Review 255
255,cheap,cheap,,,,healthy & goes a long way with our family especially with our teen age son who loves eating it with lactose free milk ,Review 256
256,,,,,,"This is a S&S item for us.  Not only is it good for breakfast as it arrives but it mixes well with yogurt, to make my own granola bars, and right out of the bag as a snack.  My birdies love it also, I put it on a string and run it around and through the bars of their cage and they love eating it that way. ",Review 257
257,Sweet,,,Sweet,,"My kids love a sweet cereal, but I feel guilty giving them sweet cereals much, because I worry that they have too much sugar. This is a great compromise. Healthy whole grains, with sweetness, but not TOO much sugar. ",Review 258
258,,,,,,"We have these shipped monthly, a our 3 year old loves cereal. It's great bc it's doesn't have a lot of the junk some of the other kid cereals do. And having it shipped means less time in the grocery store!! ",Review 259
259,,,,,,"Product came just as ordered, it is a 4 pack of Honey Nut Cheerios. It is delicious, what more could i want? The expiration date was nowhere near something to be concerned about. ",Review 260
260,Spicy,,,Spicy,,Just like the Cheerios you ate as a child but these are already lightly sweetened. No need to get mad because your sugar fell off your spoon of cereal. Sweet milk is nice as a kid but I truthfully wouldn't drink/spoon it up now like I did then. ,Review 261
261,,,,,,"I eat Cheerios almost every day for breakfast.  I found that three boxes last a long time for one person.  Because of the quantity, I can't enjoy subscribe and save.  When I have finished the current order, I might try subscribe and save if you accept every four or five months pattern.  I only wish I could subscribe and save for milk deliveries. (-;  I miss having a milkman as my mother did when I was a child. ",Review 262
262,Sweet,Sweet,,,,What can I say about this...absolute classic with a honey taste...can't beat that!  Heart healthy and fairly low calorie too...I am stocking up ,Review 263
263,Veg,,,Veg,,"I'm a Honey Nut Cheerios fan. I gave it a break and tried another cereal and it was ok, but I just had to come back to my Honey Nut Cheerios. The seller did great and I received them on time. Go ahead and buy it. ",Review 264
264,,,,,,I love Honey Nut Cherrios.  They provide me with that sweet fix in the morning and are still somewhat healthy for me.  This was a great deal from Amazon and I will continue to buy it when it is offerred for this amazing price.  Unfortunately it increased almost immediately after I bought it so I discontinued my subscription. ,Review 265
265,Spicy,,,Spicy,,I eat Cheerios all the time. Glad to get enough so as not to run out. Whenever my grandkids come over it is a great snack too. ,Review 266
266,cheap,,,cheap,,I love Cherrios.Honey Nut. These Cheerios do not need any sweeteners. They are good just with milk only. This a great breakfast cereal. ,Review 267
267,Veg,Veg,,,,"When i went to my grocery store ( giant ) i could not believe the price for one box of honey nut cheerios, so when i went home i went online to amazon.com and found a great deal on cheerios and this is my place to buy cereal from now on. ",Review 268
268,Veg,,,Veg,,Great buy no taxes or shipping. Cheaper than the local grocery store. Everything arrived intact and its fresh and taste great . I would recommend this product to anyone. ,Review 269
269,,,,,,Love the cereal and the price on Amazon is pretty good! I signed up for 'Subscribe and Save' so I don't have to worry about ordering this each time. Definitely worth it! ,Review 270
270,,,,,,I used to buy this thinking it was a healthy choice for my children. then I learned about GMOs and found out that it is making them sick.no longer buy any of this companies products. ,Review 271
271,cheap,,,cheap,,"I am 5 months pregnant and have been craving these Honey Nut Cheerios for breakfast everyday for the last two months. i cannot get enough of them, plus my husband and 10 year old daughter love them. The family size box often times is on sale for a really reasonable price and come with EXTRA BOX TOPS. The last family size box that I bought came with 4 BOX TOPS FOR EDUCATION ",Review 272
272,,,,,,We all love honey nut cheerios in this household...I was very happy to find them on your site...crunch ...crunch .They start my day ,Review 273
273,Sweet,Sweet,,,,I like honey nut cheerios. These arrived in good condition and were gone fast since everyone here loves them. The price ws reasonable too ,Review 274
274,Veg,,,Veg,,"If you were wondering, in my pack of 4 I got 2 with promotional toys in them and 2 without promotional toys on them. So your box of four could have a variety of box designs, but they'll all be the same size. I never thought they'd put promotional boxes online but they do. ",Review 275
275,cheap,,,cheap,,"I have been a big fan lately of ordering household staples straight to the door, beacause that means that they arrive, slowly over time and you can put them away and see what you have. Instead of once a week or every other week going grocery shopping, and lugging tons of stuff and putting a mountain of supplies and food away all at once. I guess I am just easily overwhelmed, but this is a great way to get 4 packs of cereal, which are the same as the ones in the grocery store, right down to the generic &#34;toy in every box!!&#34; ",Review 276
276,,,,,,"Getting these through Amazon was cheaper than going to the grocery store and with Prime shipping, more convenient, too.  Who can honestly say anything bad about Honey Nut Cheerios?  They are my go-to snack food.  And I like to think I'm even being somewhat healthy as I clear half a box in one sitting... ",Review 277
277,cheap,cheap,,,,"I love Honey Nut Cheerios, so I'm not sure what else to say about them.  Very tasty and the 4 pack is a good price. ",Review 278
278,cheap,,,cheap,,"you really don't need to add sweetener. HNCs are, IMO, superior to corn flakes due to their ability to last soaking in milk in a crunchy state before they get soggy. I particularly like to mix them in a bowl w/ 1 or 2 other kinds of serial, for that reason and their built-in 'sweet state.' Their only noticeable lack is that they do not carry a high fiber content w/ them, kind of a filler food which I wish added just a touch more, than they take up inside of you. ",Review 279
279,cheap,cheap,,,,My husband eats cereal every morning. He loves Cheerios since they have a good flavor and he does not need to add sugar. The packaging was great and the price is better than anything we can get locally. ,Review 280
280,,,,,,deal and great cereal.  one of the best!  I got these on subscribe and save and it was a good deal. ,Review 281
281,,,,,,How to improve  on an already good product?  Just look at Honey Nut Cheerios and you'll see how it's done.  I was a devoted &#34;plain&#34; Cheerios consumer and one day decided just to try the Honey Nut variety out of curiosity.  Now it's the first choice for me if I don't want to have hot oatmeal. I have cereal -- hot or cold -- for breakfast most mornings  and I really enjoy starting my day with Honey Nut Cheerios.  Heart healthy and tasty -- can't ask for more from a breakfast cereal can you? ,Review 282
282,Spicy,,,Spicy,,This was great value for a great item. My son loves this product and this offer was too good to miss ,Review 283
283,cheap,cheap,,,,Got the subscription as a lark so my granddaughter gets a box of four of her favorite cereal each month. ,Review 284
284,cheap,cheap,,,,"Honey nut Cheerios to your doorstep, what could be better.  The arrived fresh and ready to enjoy for a great breakfast. ",Review 285
285,,,,,,My granddaughter and little cousin likes this cereal. It is great evening snack. I send them boxed home. Great price. ,Review 286
286,Sweet,Sweet,,,,I love having the option to subscribe and save. I never run out and the price is so much cheaper than where I normally buy my groceries. Total win-win! ,Review 287
287,Veg,,,Veg,,"I love cereal and it's my go to snack many days.  As a kid, I dumped tablespoons of sugar on my cereal but quit years ago...this cereal is good as is. ",Review 288
288,cheap,,,cheap,,Honey Nut Cheerios are a routine breakfast option in our household. We think the taste and nutritional value are great. The subscribe and save beats our local grocery store. Shipping speed and packaging were great. ,Review 289
289,,,,,,We have been eating this cereal for quite some time and when I noticed it on Amazon I thought I might get a great deal. Had to pass up ordering as the price at the local grocery stores is less. Sorry Amazon---this is one of the few items I have not immediately ordered from Amazon when our supply was diminished.This is a very good cereal product and we love it. ,Review 290
290,Veg,,,Veg,,"These are Honey Nut Cheerios and if you like these, then you like them.  If you don't then you don't.  So why would you order these?  Well... they come packaged as four individually packaged boxes.  Okay, so that is the best I can come up with other than the price here was really good. ",Review 291
291,Veg,Veg,,,,"Really love the honey flavor, got the 4 pack so hope they last for more than 2-3 weeks, as these go fast around here ",Review 292
292,,,,,,my kids love this stuff and i can't see to make it last longer than 1 month; they have it for breakfast when we are in a hurry; they have it for snacks; ,Review 293
293,Sweet,Sweet,,,,"Taste great and fresh , straight from the factory it seems , right out the box ready to go yummy good stuff !! ",Review 294
294,cheap,cheap,,,,We love being able to get this in the Amazon subscribe and save.  Goes very well with fruit and almond milk. ,Review 295
295,Veg,,,Veg,,Who doesn't love hone nut Cheerios? They are a staple in our house. We love the subscribe and see discount as well. ,Review 296
296,Spicy,,,Spicy,,"This was one of my favorites growing up.  The boxes, however, are much too small.  It gives about 4 servings.  Wish they offered larger sizes. ",Review 297
297,Spicy,,,Spicy,,My kids love Honey Nut Cheerios and we go through several boxes a week. This was a great deal for us since Amazon had a coupon on it. ,Review 298
298,,,,,,I enjoyed eating cereal. Healthy food choice for morning and the flavor is good as well. Will buy again. Thanks! ,Review 299
299,,,,,,My entire family loves this flavor.  The price is comparable to my local grocery store when bought on a Subscribe and Save plan. ,Review 300
300,Spicy,Spicy,,,,"I considered buying these in bulk here on Amazon, then realized that i would be over paying! The very same bars are $3 for a box of 8... to get 48 bars, would would be spending $18, instead of $22+ (shipping, tax, etc). Plus, then i can choose the variety of flavors we want, not what is pre-boxed. While some of the bulk items here are a deal, many are not! ",Review 301
301,,,,,,"The illusion of nutrition... The ingredients aren't all that wholesome (high fructose corn syrup and corn syrup are the first two ingredients), but these Nutrigrain bars are popular in the office.  3 grams of fat and 130 calories in a bar. ",Review 302
302,Veg,,,Veg,,Handy little tasty goodness for go-lunches for adults or grab something easy at home with coffee. Boxes arrived in good shape and bars are nicely moist. Expiration date is really good = middle of next year! Thanks Amazon. ,Review 303
303,cheap,,,cheap,,"Wow - we just FLEW through a box of these things !! they are great for taking on the road, and you can avoid the junk that usually goes along with the morning coffee... ",Review 304
